"Date","Discharge.m3s","Site","Sample"
2002-08-16,4.64740202033837e-06,"CCBP","CCBP_UP_3"
2002-08-17,4.39733340082794e-06,"CCBP","CCBP_UP_3"
2002-08-18,4.17191943394528e-06,"CCBP","CCBP_UP_3"
2002-08-19,3.9183287212023e-06,"CCBP","CCBP_UP_3"
2002-08-20,4.34450200233982e-06,"CCBP","CCBP_UP_3"
2002-08-21,4.3145642098632e-06,"CCBP","CCBP_UP_3"
2002-08-22,4.15607001439884e-06,"CCBP","CCBP_UP_3"
2002-08-23,5.47333288336933e-06,"CCBP","CCBP_UP_3"
2002-08-24,5.49974858261339e-06,"CCBP","CCBP_UP_3"
2002-08-25,6.36618351781857e-06,"CCBP","CCBP_UP_3"
2002-08-26,5.16691077213823e-06,"CCBP","CCBP_UP_3"
2002-08-27,4.84816133459323e-06,"CCBP","CCBP_UP_3"
2002-08-28,4.16487524748021e-06,"CCBP","CCBP_UP_3"
2002-08-29,6.96529157667387e-06,"CCBP","CCBP_UP_3"
2002-08-30,6.4313422426206e-06,"CCBP","CCBP_UP_3"
2002-08-31,4.4413595662347e-06,"CCBP","CCBP_UP_3"
2002-09-01,4.51532352411806e-06,"CCBP","CCBP_UP_3"
2002-09-02,5.98931954193664e-06,"CCBP","CCBP_UP_3"
2002-09-03,7.90181616720662e-06,"CCBP","CCBP_UP_3"
2002-09-04,5.52586238815181e-06,"CCBP","CCBP_UP_3"
2002-09-06,4.84640028797697e-06,"CCBP","CCBP_UP_3"
2002-09-07,5.08766367440605e-06,"CCBP","CCBP_UP_3"
2002-09-08,5.06300902177826e-06,"CCBP","CCBP_UP_3"
2002-09-09,4.58400434215262e-06,"CCBP","CCBP_UP_3"
2002-09-10,3.45341241450683e-06,"CCBP","CCBP_UP_3"
2002-09-11,2.71905597552195e-06,"CCBP","CCBP_UP_3"
2002-09-12,1.15876867350612e-06,"CCBP","CCBP_UP_3"
2002-09-13,7.78382604391649e-07,"CCBP","CCBP_UP_3"
2002-09-14,7.90709930705543e-07,"CCBP","CCBP_UP_3"
2002-09-15,8.17125629949603e-07,"CCBP","CCBP_UP_3"
2002-09-16,4.12613222192225e-06,"CCBP","CCBP_UP_3"
2002-09-17,2.52005770788337e-06,"CCBP","CCBP_UP_3"
2002-09-18,1.41412043286537e-06,"CCBP","CCBP_UP_3"
2002-09-19,8.64673888588912e-07,"CCBP","CCBP_UP_3"
2002-09-20,8.25930863030958e-07,"CCBP","CCBP_UP_3"
